  =  0.18269
гм =  0.00000
гн =  0.00043
го =  0.00667
гп =  0.00000
гр =  0.00098
гс =  0.00002
гт =  0.00006
гу =  0.00062
гч =  0.00005
гш =  0.00000
д  =  0.00108
да =  0.00435
дб =  0.00005
дв =  0.00065
дг =  0.00001
дд =  0.00004
де =  0.00454
дж =  0.00004
дз =  0.00000
ди =  0.00294
дк =  0.00028
дл =  0.00044
дм =  0.00004
дн =  0.00149
до =  0.00380
дп =  0.00007
др =  0.00117
дс =  0.00019
дт =  0.00023
ду =  0.00174
дх =  0.00009
дц =  0.00019
дч =  0.00003
дш =  0.00002
дъ =  0.00005
ды =  0.00058
дь =  0.00039
дэ =  0.00001
дю =  0.00001
дя =  0.00040
е  =  0.01628
еа =  0.00006
еб =  0.00188
ев =  0.00330
ег =  0.00308
ед =  0.00240
ее =  0.00108
еж =  0.00062
ез =  0.00134
еи =  0.00009
ей =  0.00205
ек =  0.00083
ел =  0.00571
ем =  0.00322
ен =  0.00499
ео =  0.00021
еп =  0.00084
ер =  0.00552
ес =  0.00324
ет =  0.00533
еу =  0.00010
еф =  0.00015
ех =  0.00041
ец =  0.00038
еч =  0.00071
еш =  0.00140
ещ =  0.00071
еэ =  0.00000
ею =  0.00014
ея =  0.00031
ж  =  0.00050
жа =  0.00113
жб =  0.00001
жв =  0.00000
жг =  0.00001
жд =  0.00061
же =  0.00354
жж =  0.00000
жи =  0.00147
жк =  0.00010
жл =  0.00005
жм =  0.00003
жн =  0.00077
жо =  0.00008
жр =  0.00001
жс =  0.00000
жт =  0.00001
жу =  0.00024
жч =  0.00017
жь =  0.00003
з  =  0.00139
за =  0.00577
зб =  0.00015
зв =  0.00081
зг =  0.00030
зд =  0.00075
зе =  0.00038
зж =  0.00007
зз =  0.00011
зи =  0.00027
зк =  0.00021
зл =  0.00028
зм =  0.00025
зн =  0.00146
зо =  0.00050
зп =  0.00003
зр =  0.00022
зт =  0.00002
зу =  0.00042
зц =  0.00000
зч =  0.00001
зш =  0.00000
зъ =  0.00001
зы =  0.00032
зь =  0.00014
зя =  0.00032
и  =  0.01571
иа =  0.00007
иб =  0.00048
ив =  0.00222
иг =  0.00063
ид =  0.00139
ие =  0.00146
иж =  0.00033
из =  0.00166
ии =  0.00031
ий =  0.00076
ик =  0.00194
ил =  0.00583
им =  0.00351
ин =  0.00305
ио =  0.00008
ип =  0.00019
ир =  0.00073
ис =  0.00248
ит =  0.00338
иу =  0.00001
иф =  0.00001
их =  0.00129
иц =  0.00073
ич =  0.00089
иш =  0.00106
ищ =  0.00015
ию =  0.00013
ия =  0.00061
й  =  0.00662
йа =  0.00000
йб =  0.00001
йв =  0.00001
йг =  0.00000
йд =  0.00026
йе =  0.00002
йй =  0.00000
йк =  0.00014
йл =  0.00003
йм =  0.00008
йн =  0.00022
йо =  0.00001
йп =  0.00002
йс =  0.00033
йт =  0.00027
йф =  0.00001
йц =  0.00004
йч =  0.00023
йш =  0.00002
йя =  0.00000
к  =  0.00471
ка =  0.00733
кб =  0.00000
кв =  0.00019
кд =  0.00000
ке =  0.00048
кж =  0.00005
кз =  0.00000
ки =  0.00241
кк =  0.00006
кл =  0.00060
км =  0.00003
кн =  0.00059
ко =  0.00690
кр =  0.00205
кс =  0.00113
кт =  0.00046
ку =  0.00227
кц =  0.00001
кч =  0.00000
кш =  0.00001
кы =  0.00001
л  =  0.00867
ла =  0.00698
лб =  0.00003
лв =  0.00002
лг =  0.00016
лд =  0.00002
ле =  0.00623
лж =  0.00024
лз =  0.00003
ли =  0.00590
лй =  0.00000
лк =  0.00053
лл =  0.00005
лм =  0.00001
лн =  0.00040
ло =  0.00514
лп =  0.00001
лс =  0.00236
лт =  0.00009
лу =  0.00130
лх =  0.00000
лч =  0.00017
лш =  0.00000
лщ =  0.00000
лы =  0.00070
ль =  0.00325
